Área,Pólo,Igreja,B.2025,B.2026,M.2026,V.2026,TG.2026
CARIACICA SEDE - ES,CARIACICA SEDE - ES,060241 - ANTÔNIO F BORGES,2,0,50,13,63
CARIACICA SEDE - ES,CARIACICA SEDE - ES,060011 - CARIACICA SEDE,2,0,79,12,91
CARIACICA SEDE - ES,CARIACICA SEDE - ES,060506 - CENTRAL,1,0,95,12,107
CARIACICA SEDE - ES,CARIACICA SEDE - ES,061313 - LIMÃO,3,0,46,20,66
CARIACICA SEDE - ES,CARIACICA SEDE - ES,061300 - MANGARAÍ,3,0,51,3,54
CARIACICA SEDE - ES,CARIACICA SEDE - ES,061101 - MORADA DOS LAGOS,6,0,124,33,157
CARIACICA SEDE - ES,CARIACICA SEDE - ES,060690 - MORRINHOS,5,0,67,8,75
CARIACICA SEDE - ES,CARIACICA SEDE - ES,060487 - PROLAR II,5,2,79,10,89
CARIACICA SEDE - ES,CARIACICA SEDE - ES,060301 - SANTA LEOPOLDINA,2,0,53,25,78
CARIACICA SEDE - ES,CARIACICA SEDE - ES,060384 - SÃO JOÃO BATISTA,2,0,25,16,41
CARIACICA SEDE - ES,CARIACICA SEDE - ES,060267 - VILA MERLO I,3,0,81,11,92
CARIACICA SEDE - ES,CARIACICA SEDE - ES,060822 - VILA MERLO II,1,0,45,6,51
CARIACICA SEDE - ES,NOVA ROSA DA PENHA - ES,060469 - NOVA ESPERANÇA I,0,0,63,21,84
CARIACICA SEDE - ES,NOVA ROSA DA PENHA - ES,060557 - NOVA ESPERANÇA II,1,2,47,2,49
CARIACICA SEDE - ES,NOVA ROSA DA PENHA - ES,060769 - NOVA ESPERANÇA III,1,6,80,9,89
CARIACICA SEDE - ES,NOVA ROSA DA PENHA - ES,060126 - NOVA ROSA DA PENHA I,2,1,71,20,91
CARIACICA SEDE - ES,NOVA ROSA DA PENHA - ES,060358 - NOVA ROSA DA PENHA II,1,0,38,12,50
CARIACICA SEDE - ES,NOVA ROSA DA PENHA - ES,060556 - NOVA ROSA DA PENHA III,2,1,49,7,56
